blockchain,date,safe_txs
optimism,2023-05-16 00:00:00.000 UTC,217
optimism,2023-05-17 00:00:00.000 UTC,701
optimism,2023-05-18 00:00:00.000 UTC,274
optimism,2023-05-19 00:00:00.000 UTC,242
optimism,2023-05-20 00:00:00.000 UTC,429
optimism,2023-05-21 00:00:00.000 UTC,229
optimism,2023-05-22 00:00:00.000 UTC,152
optimism,2023-05-23 00:00:00.000 UTC,259
optimism,2023-05-24 00:00:00.000 UTC,259
optimism,2023-05-25 00:00:00.000 UTC,183
optimism,2023-05-26 00:00:00.000 UTC,176
optimism,2023-05-27 00:00:00.000 UTC,55
optimism,2023-05-28 00:00:00.000 UTC,195
optimism,2023-05-29 00:00:00.000 UTC,297
